id,date,text
1,2023-01-05,청소년 정책 지원 확대를 위한 정부 예산이 내년도에 대폭 증가할 전망이다. 교육부는 청소년 복지 및 진로 탐색 프로그램 운영을 위한 예산을 올해 대비 15% 늘리기로 했다고 밝혔다.
2,2023-02-10,디지털 시대를 맞아 청소년의 온라인 활동이 급증하면서 사이버 폭력과 개인정보 침해 문제가 사회적 이슈로 부상하고 있다. 전문가들은 디지털 리터러시 교육의 중요성을 강조하고 있다.
3,2023-03-15,학교 밖 청소년을 위한 지원 체계 강화 방안이 논의되고 있다. 교육 사각지대에 놓인 청소년들에게 직업 훈련과 상담 서비스를 제공하는 프로그램이 전국적으로 확대된다.
4,2023-04-20,청소년 정신건강 문제가 심각한 수준에 달했다는 조사 결과가 발표됐다. 코로나19 이후 우울증과 불안장애를 호소하는 청소년이 크게 늘었으며 전문 상담 인력 확충이 시급한 것으로 나타났다.
5,2023-05-03,청소년 참여 활성화를 위한 청소년 의회 제도가 도입된다. 지방자치단체별로 청소년 대표가 정책 결정 과정에 참여할 수 있는 제도적 기반이 마련될 예정이다.
6,2023-06-08,고등학생의 진로 탐색을 돕는 직업 체험 프로그램이 전국 학교에서 진행됐다. 참가 학생들은 다양한 직업 현장을 방문하며 미래 직업 세계를 이해하는 기회를 얻었다.
7,2023-07-12,청소년 범죄 예방을 위한 학교전담경찰관 제도가 강화된다. 경찰청은 학교폭력 신고 처리 체계를 개선하고 예방 교육 프로그램을 확대하기로 했다.
8,2023-08-18,청소년 스포츠 참여 촉진을 위해 생활체육 인프라가 확충된다. 정부는 지역 청소년 스포츠 시설을 늘리고 저소득 가정 청소년의 체육 활동 비용을 지원하는 계획을 발표했다.
9,2023-09-22,청소년 알코올 및 흡연 문제 해결을 위한 종합 대책이 마련됐다. 편의점과 주류 판매점에 대한 단속을 강화하고 학교 내 예방 교육을 강화하기로 했다.
10,2023-10-30,다문화 가정 청소년을 위한 맞춤형 교육 지원이 확대된다. 언어 장벽으로 어려움을 겪는 청소년들을 위한 한국어 교육 프로그램과 문화 적응 지원 서비스가 강화될 예정이다.
11,2023-11-14,청소년 자원봉사 문화 확산을 위한 캠페인이 전국적으로 진행됐다. 학생들이 지역 사회 문제 해결에 직접 참여하는 프로젝트가 다수 추진됐다.
12,2023-12-05,2024년 청소년 정책 예산이 확정됐다. 교육, 복지, 고용, 안전 분야를 중심으로 총 3조 원 규모의 예산이 배정되어 청소년 지원 사업이 더욱 강화될 전망이다.
13,2024-01-08,AI 교육 확대 정책의 일환으로 청소년 대상 코딩 교육이 필수화된다. 초중고 교육과정에 소프트웨어 및 인공지능 교육이 강화되어 디지털 역량 함양이 이루어질 계획이다.
14,2024-02-15,청소년 주거 문제 해결을 위한 청년 주택 공급 확대 방안이 발표됐다. 대학생과 사회 초년생을 대상으로 저렴한 임대주택을 공급하는 정책이 추진된다.
15,2024-03-20,학교 내 급식 품질 향상을 위한 예산이 증액됐다. 영양사 확충과 친환경 식재료 사용을 확대하여 청소년들의 건강한 식생활 환경을 조성한다.
16,2024-04-10,청소년 고용 지원 프로그램이 강화됐다. 취업 취약 계층 청소년을 위한 직업 훈련과 취업 연계 서비스가 확대되고 청소년 일자리 창출을 위한 다양한 지원책이 마련됐다.
17,2024-05-22,온라인 게임 과몰입 청소년 지원 대책이 발표됐다. 전문 상담 기관 확대와 디지털 미디어 리터러시 교육 강화를 통해 건강한 디지털 생활 문화를 조성하기 위한 정책이 추진된다.
18,2024-06-18,청소년 환경 교육이 강화된다. 기후변화 대응과 환경 보호의 중요성을 인식시키기 위한 체험형 환경 교육 프로그램이 전국 학교에 보급될 예정이다.
19,2024-07-25,청소년 국제교류 프로그램이 확대된다. 해외 청소년과의 교류를 통해 글로벌 역량을 키우고 다양한 문화를 경험할 수 있는 기회가 제공된다.
20,2024-08-30,학교 폭력 제로 정책의 성과를 분석한 보고서가 발표됐다. 학교전담경찰관 제도 도입 이후 학교 폭력 신고 건수가 감소하는 추세를 보이고 있으나 사이버 폭력은 오히려 증가한 것으로 나타났다.
